date,study_hours,sleep_hours,break_minutes,focus_score,productivity_score
2025-02-23,2.36,5.98,85.0,6.82,4.34
2025-02-24,5.87,8.62,102.0,6.96,6.91
2025-02-25,3.54,4.73,31.0,7.94,4.78
2025-02-26,3.79,7.51,84.0,6.96,5.54
2025-02-27,5.34,4.9,82.0,8.61,5.86
2025-02-28,3.38,7.65,103.0,6.83,5.35
2025-03-01,1.03,6.73,92.0,5.32,3.6
2025-03-02,6.37,7.78,27.0,7.77,7.07
2025-03-03,5.3,7.61,98.0,6.69,6.27
2025-03-04,6.48,6.74,119.0,9.12,7.09
2025-03-05,7.92,8.79,103.0,9.32,8.46
2025-03-06,7.57,5.78,35.0,6.95,6.91
2025-03-07,6.66,4.03,36.0,7.06,5.95
2025-03-08,5.76,6.8,114.0,7.79,6.48
2025-03-09,2.27,7.24,104.0,5.56,4.42
2025-03-10,2.78,6.27,61.0,9.77,5.22
2025-03-11,7.54,4.67,70.0,5.45,6.26
2025-03-12,3.61,4.88,70.0,6.46,4.56
2025-03-13,6.49,7.36,100.0,5.67,6.59
2025-03-14,3.84,6.76,71.0,6.76,5.3
2025-03-15,3.65,4.77,108.0,8.02,4.86
2025-03-16,7.89,7.71,86.0,8.41,7.94
2025-03-17,3.74,4.19,50.0,6.33,4.39
2025-03-18,4.32,6.82,97.0,9.13,6.03
2025-03-19,6.91,7.88,48.0,6.58,7.13
2025-03-20,4.89,4.44,31.0,7.71,5.32
2025-03-21,1.12,6.24,27.0,7.01,3.83
2025-03-22,2.24,4.25,70.0,9.66,4.33
2025-03-23,1.08,8.91,54.0,9.88,5.19
2025-03-24,1.07,8.17,62.0,6.53,4.29
2025-03-25,5.48,5.52,73.0,7.73,5.94
2025-03-26,5.02,7.79,99.0,9.42,6.73
2025-03-27,1.23,7.2,54.0,9.78,4.73
2025-03-28,1.82,4.12,51.0,9.56,4.06
2025-03-29,4.77,5.62,61.0,9.86,6.04
2025-03-30,5.13,4.11,27.0,8.63,5.52
2025-03-31,2.09,8.97,112.0,8.62,5.46
2025-04-01,6.72,8.66,52.0,8.31,7.62
2025-04-02,2.55,4.54,50.0,6.28,3.89
2025-04-03,6.34,8.04,66.0,5.05,6.59
2025-04-04,5.25,5.41,84.0,5.65,5.38
2025-04-05,6.68,5.66,98.0,5.6,6.16
2025-04-06,5.06,6.54,53.0,6.45,5.78
2025-04-07,3.13,5.54,120.0,6.5,4.53
2025-04-08,5.83,4.26,104.0,9.91,6.17
2025-04-09,2.78,4.54,97.0,9.52,4.66
2025-04-10,1.28,5.03,94.0,6.31,3.41
2025-04-11,6.98,6.87,55.0,8.14,7.18
2025-04-12,2.53,6.31,69.0,6.15,4.39
2025-04-13,7.09,6.02,47.0,8.23,7.0
2025-04-14,7.56,6.74,31.0,5.02,6.81
2025-04-15,4.17,5.26,42.0,5.59,4.78
2025-04-16,1.82,4.58,56.0,9.56,4.2
2025-04-17,2.7,8.97,91.0,5.78,5.2
2025-04-18,1.66,8.39,110.0,8.49,5.04
2025-04-19,6.82,6.39,35.0,5.49,6.42
2025-04-20,2.05,4.35,62.0,8.15,3.96
2025-04-21,2.1,8.72,105.0,9.99,5.66
2025-04-22,2.98,8.49,29.0,6.13,5.26
2025-04-23,3.28,8.67,23.0,7.22,5.68
2025-04-24,3.33,4.7,111.0,5.44,4.16
2025-04-25,6.72,7.66,120.0,7.8,7.22
2025-04-26,5.19,4.04,91.0,9.11,5.63
2025-04-27,5.64,8.26,31.0,7.44,6.79
2025-04-28,6.89,4.89,54.0,6.7,6.25
2025-04-29,2.94,5.89,113.0,7.7,4.78
2025-04-30,1.27,8.86,77.0,7.47,4.79
2025-05-01,7.05,8.1,82.0,8.95,7.75
2025-05-02,1.6,4.89,46.0,8.68,4.0
2025-05-03,5.69,8.13,52.0,5.7,6.42
2025-05-04,6.09,5.86,97.0,7.64,6.33
2025-05-05,1.99,4.25,90.0,9.76,4.22
2025-05-06,3.72,8.61,70.0,7.23,5.89
2025-05-07,5.25,5.46,38.0,7.31,5.72
2025-05-08,6.57,5.25,95.0,5.12,5.88
2025-05-09,4.96,7.49,27.0,5.05,5.74
2025-05-10,5.41,8.1,59.0,6.76,6.49
2025-05-11,5.39,6.2,90.0,7.95,6.14
2025-05-12,7.22,4.85,79.0,5.65,6.19
2025-05-13,6.8,4.94,81.0,6.08,6.1
2025-05-14,2.86,7.11,113.0,5.8,4.72
2025-05-15,1.44,8.14,94.0,5.07,4.18
2025-05-16,4.45,7.28,68.0,5.81,5.57
2025-05-17,1.43,7.14,26.0,9.27,4.71
2025-05-18,1.04,8.5,119.0,6.7,4.41
2025-05-19,2.18,6.68,90.0,5.62,4.22
2025-05-20,5.87,5.01,83.0,9.1,6.26
2025-05-21,2.3,6.5,46.0,8.3,4.76
2025-05-22,3.04,8.38,67.0,7.4,5.51
2025-05-23,5.94,8.1,105.0,6.46,6.69
2025-05-24,4.16,6.36,32.0,9.23,5.83
2025-05-25,3.97,7.24,57.0,5.59,5.28
2025-05-26,1.77,8.43,94.0,9.87,5.39
2025-05-27,7.93,7.19,29.0,7.98,7.72
2025-05-28,3.51,5.78,89.0,6.11,4.71
2025-05-29,4.54,8.77,43.0,9.48,6.8
2025-05-30,3.64,6.0,45.0,7.11,5.04
2025-05-31,5.13,8.51,22.0,7.91,6.7
2025-06-01,1.16,5.34,85.0,9.61,4.1
2025-06-02,6.95,7.79,49.0,5.63,6.94
2025-06-03,6.11,5.76,95.0,6.24,6.03
2025-06-04,2.49,8.5,111.0,7.36,5.27
2025-06-05,3.01,4.03,113.0,5.36,3.79
2025-06-06,1.34,4.62,81.0,9.73,4.0
2025-06-07,1.29,4.72,82.0,7.6,3.58
2025-06-08,1.39,4.57,94.0,6.82,3.43
2025-06-09,2.6,4.91,99.0,9.17,4.61
2025-06-10,2.2,5.04,109.0,8.96,4.4
2025-06-11,6.26,7.09,62.0,8.71,7.0
2025-06-12,3.83,6.96,62.0,9.65,5.93
2025-06-13,7.42,6.83,38.0,9.38,7.64
2025-06-14,1.72,8.88,118.0,5.96,4.72
2025-06-15,5.11,4.35,67.0,7.44,5.35
2025-06-16,4.87,5.5,28.0,8.36,5.76
2025-06-17,4.0,6.74,68.0,7.29,5.48
2025-06-18,2.39,4.24,68.0,7.06,3.88
2025-06-19,5.53,7.24,77.0,7.33,6.4
2025-06-20,1.09,6.57,103.0,5.93,3.7
2025-06-21,4.56,6.68,63.0,7.39,5.76
2025-06-22,5.97,6.61,113.0,5.05,5.98
2025-06-23,3.54,6.19,31.0,5.38,4.7
2025-06-24,5.05,4.79,51.0,6.02,5.17
2025-06-25,5.63,7.75,33.0,7.47,6.63
2025-06-26,1.06,5.08,40.0,5.91,3.24
2025-06-27,6.39,7.46,42.0,6.14,6.66
2025-06-28,4.52,8.07,92.0,9.58,6.6
2025-06-29,6.72,7.43,84.0,8.23,7.23
